"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus","Total HTML Page Views","Total PDF Downloads","Total XML Downloads","Combined Usage (HTML + PDF + XML)","Blog Coverage - Postgenomic","Blog Coverage - Nature Blogs","Blog Coverage - Bloglines","Number of Trackbacks","Social Bookmarking - CiteULike","Social Bookmarking - Connotea","Number of Ratings","Average Rating","Number of Note threads","Number of replies to Notes","Number of Comment threads","Number of replies to Comments","Number of 'Star Ratings' that also include a text comment"
"10.1371/journal.pone.0004049",01/06/09,2009,"PLoS ONE","RA","Will Patients Benefit from Regionalization of Gynecologic Cancer Care?",0,0,0,222,38,1,261,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pbio.1000151",07/14/09,2009,"PLoS Biology","RA","Inherent Dynamics of the Acid-Sensing Ion Channel 1 Correlates with the Gating Mechanism",1,0,0,939,260,7,1206,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004516",02/18/09,2009,"PLoS ONE","RA","Impaired Replication Stress Response in Cells from Immunodeficiency Patients Carrying Cernunnos/XLF Mutations",0,0,0,227,88,1,316,0,0,0,0,0,0,0,0,1,1,0,0,0
"10.1371/journal.pone.0006436",07/30/09,2009,"PLoS ONE","RA","Hippocampal Volume Reduction in Congenital Central Hypoventilation Syndrome",0,0,0,106,9,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0006092",06/30/09,2009,"PLoS ONE","RA","Methamphetamine Induces Dopamine D1 Receptor-Dependent Endoplasmic Reticulum Stress-Related Molecular Events in the Rat Striatum",0,0,0,249,76,3,328,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005711",05/27/09,2009,"PLoS ONE","RA","Sox17 Promotes Cell Cycle Progression and Inhibits TGF-?/Smad3 Signaling to Initiate Progenitor Cell Behavior in the Respiratory Epithelium",0,0,0,471,124,1,596,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004715",03/05/09,2009,"PLoS ONE","RA","Glutamine Deprivation Induces Abortive S-Phase Rescued by Deoxyribonucleotides in K-Ras Transformed Fibroblasts",0,0,1,277,105,1,383,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.ppat.1000355",03/27/09,2009,"PLoS Pathogens","RA","Characterization of the Interferon-Producing Cell in Mice Infected with Listeria monocytogenes",0,0,0,714,250,3,967,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005163",04/09/09,2009,"PLoS ONE","RA","Microsaccade Rate Varies with Subjective Visibility during Motion-Induced Blindness",0,0,1,155,41,2,198,0,0,0,0,0,0,0,0,1,0,0,0,0
"10.1371/journal.pmed.0050252",01/06/09,2009,"PLoS Medicine","non RA","Time To Move from Presumptive Malaria Treatment to Laboratory-Confirmed Diagnosis and Treatment in African Children with Fever",1,2,2,1783,637,19,2439,0,0,1,0,4,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000001",01/20/09,2009,"PLoS Medicine","non RA","Data Sources for Improving Estimates of the Global Burden of Injuries: Call for Contributors",1,0,0,637,132,14,783,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000002",02/10/09,2009,"PLoS Medicine","non RA","Tuberculosis Drug Resistance Mutation Database",0,0,2,2269,742,24,3035,0,0,0,0,2,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004385",02/05/09,2009,"PLoS ONE","RA","Climate Change and Trophic Response of the Antarctic Bottom Fauna",0,0,0,805,225,5,1035,1,0,0,1,0,0,0,0,0,0,0,0,0
"10.1371/journal.pbio.1000073",03/31/09,2009,"PLoS Biology","RA","Two Modes of Transcriptional Activation at Native Promoters by NF-?B p65",0,0,0,1490,556,72,2118,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004826",03/12/09,2009,"PLoS ONE","RA","Buying Years to Extinction: Is Compensatory Mitigation for Marine Bycatch a Sufficient Conservation Measure for Long-Lived Seabirds?",0,0,0,473,117,3,593,0,0,0,1,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000007",01/06/09,2009,"PLoS Medicine","RA","Effect of Removing Direct Payment for Health Care on Utilisation and Health Outcomes in Ghanaian Children: A Randomised Controlled Trial",0,0,0,2401,542,29,2972,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000009",01/13/09,2009,"PLoS Medicine","non RA","Autoimmune Responses in the Rheumatoid Synovium",0,0,0,994,449,16,1459,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005852",06/09/09,2009,"PLoS ONE","RA","An Exploratory Pathways Analysis of Temporal Changes Induced by Spinal Cord Injury in the Rat Bladder Wall: Insights on Remodeling and Inflammation",0,0,0,578,56,1,635,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005588",05/29/09,2009,"PLoS ONE","RA","Is Genetic Background Important in Lung Cancer Survival?",0,0,0,410,43,2,455,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000005",01/13/09,2009,"PLoS Medicine","non RA","Improving Maternal and Child Health in Difficult Environments: The Case For ?Cross-Border? Health Care",0,0,0,1094,273,18,1385,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000006",01/20/09,2009,"PLoS Medicine","non RA","Condom Access in South African Schools: Law, Policy, and Practice",0,0,0,1540,208,16,1764,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005203",04/13/09,2009,"PLoS ONE","RA","Exploring Clinical Associations Using ?-Omics? Based Enrichment Analyses",0,0,0,465,51,1,517,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004662",03/02/09,2009,"PLoS ONE","RA","HNF4alpha and HNF1alpha Dysfunction as a Molecular Rational for Cyclosporine Induced Posttransplantation Diabetes Mellitus",0,0,0,272,97,2,371,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0006407",07/28/09,2009,"PLoS ONE","RA","The Regulation of MS-KIF18A Expression and Cross Talk with Estrogen Receptor",0,0,0,199,22,1,222,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005103",04/01/09,2009,"PLoS ONE","RA","Characterization of Transcription from TATA-Less Promoters: Identification of a New Core Promoter Element XCPE2 and Analysis of Factor Requirements",0,0,0,283,121,3,407,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004421",02/10/09,2009,"PLoS ONE","RA","Cepred: Predicting the Co-Expression Patterns of the Human Intronic microRNAs with Their Host Genes",0,0,0,746,251,2,999,0,0,0,0,10,0,0,0,0,0,0,0,0
"10.1371/journal.pcbi.1000283",02/06/09,2009,"PLoS Computational Biology","RA","Computational Fitness Landscape for All Gene-Order Permutations of an RNA Virus",0,0,0,1626,344,10,1980,0,0,0,0,1,2,0,0,0,0,0,0,0
"10.1371/journal.pone.0004146",01/07/09,2009,"PLoS ONE","RA","Gonadal Transcriptome Alterations in Response to Dietary Energy Intake: Sensing the Reproductive Environment",1,0,0,447,105,1,553,1,0,0,1,1,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0006224",07/13/09,2009,"PLoS ONE","RA","Expression of the Bcl-2 Protein BAD Promotes Prostate Cancer Growth",0,0,0,498,65,3,566,0,0,0,0,0,0,0,0,0,0,0,0,0
